KEY,d13C _Sample,Formation,Std_Fm_Name,Location,Lat,Long,Age,Uncertainty,Known_Uncertainty,Lithology,HC_Ratio,N,Reference,Flags,Notes,Uncertainty_Method
107,16998,Bitter Springs Formation ,Bitter Springs Fm,Australia,-23.7,134.1,850,43,,CARB,0.82,,Strauss 1992 17.9,,,
101,12503,"Black Mudstone, Utah ","Black Mudstone, Utah",USA,40.7,-96.2,830,42,,SH,0.1,,Strauss 1992 17.9,,,
63,12539,Brachina Formation ,Brachina Fm,Australia,-23.7,134.1,650,33,,SH,0.15,,Strauss 1992 17.9,,,
64,12540,Brachina Formation ,Brachina Fm,Australia,-23.7,134.1,650,33,,SH,0.11,,Strauss 1992 17.9,,,
65,12541,Brachina Formation ,Brachina Fm,Australia,-23.7,134.1,650,33,,SH,0.06,,Strauss 1992 17.9,,,
183,12670,Bulawayan Group ,Bulawayan Gp,Zimbabwe,-19.2,30.1,2600,130,,CARB,0.76,,Strauss 1992 17.9,,,
130,12712,Bungle Bungle Dolomite ,Bungle Bungle Dolomite,Australia,-23.7,134.1,1364,68,,CH,0.31,,Strauss 1992 17.9,,,
131,12713,Bungle Bungle Dolomite ,Bungle Bungle Dolomite,Australia,-23.7,134.1,1364,68,,SH,0.45,,Strauss 1992 17.9,,,
132,12714,Bungle Bungle Dolomite ,Bungle Bungle Dolomite,Australia,-23.7,134.1,1364,68,,CARB,0.38,,Strauss 1992 17.9,,,
133,12715,Bungle Bungle Dolomite ,Bungle Bungle Dolomite,Australia,-23.7,134.1,1364,68,,CARB,0.39,,Strauss 1992 17.9,,,
134,12716,Bungle Bungle Dolomite ,Bungle Bungle Dolomite,Australia,-23.7,134.1,1364,68,,CARB,0.43,,Strauss 1992 17.9,,,
100,12730,Burra Group ,Burra Gp,Australia,-23.7,134.1,800,40,,CH,0.17,,Strauss 1992 17.9,,,
172,13184,Duck Creek Dolomite ,Duck Creek Dolomite,Australia,-23.7,134.1,2000,100,,CARB,0.14,,Strauss 1992 17.9,,,
173,13185,Duck Creek Dolomite ,Duck Creek Dolomite,Australia,-23.7,134.1,2000,100,,CH,0.32,,Strauss 1992 17.9,,,
169,13216,Earaheedy Group ,Earaheedy Gp,Australia,-23.7,134.1,1800,90,,CARB,0.27,,Strauss 1992 17.9,,,
216,13427,Fig Tree Group ,Fig Tree Gp,South Africa,-28.7,25.3,3350,168,,CH,0.16,,Strauss 1992 17.9,,,
217,13428,Fig Tree Group ,Fig Tree Gp,South Africa,-28.7,25.3,3350,168,,CH,0.2,,Strauss 1992 17.9,,,
