Formation,Std Fm. Name,Age (Mya),Lithology,Lithology Code,VL Lith Name 1,Std Lithology,Std Lithology Code,check codes,TOC,d13C-org,d13C-carb,N,Internal Ref,External Ref,Summary?,"Duplicate Search Key (Std Name, Age, Std Lith Code, TOC, d13-org, d13-org)",Countif Dupl.,Duplicate?,Filtered (K-T),Reason,Filtered (us),Reason
Amisk Group ,Amisk,1800,,SH,shale,shale,SH,TRUE,7,-22.4,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,Amisk1800SH7-22.4,0,FALSE,,,,
Amisk Group ,Amisk,1800,,SH,shale,shale,SH,TRUE,5,-23.1,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,Amisk1800SH5-23.1,0,FALSE,,,,
Amisk Group ,Amisk,1800,,SH,shale,shale,SH,TRUE,10,-23,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,Amisk1800SH10-23,0,FALSE,,,,
Amisk Group ,Amisk,1800,,SH,shale,shale,SH,TRUE,7,-23.5,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,Amisk1800SH7-23.5,0,FALSE,,,,
Amisk Group ,Amisk,1800,,SH,shale,shale,SH,TRUE,5,-23,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,Amisk1800SH5-23,0,FALSE,,,,
Amisk Group ,Amisk,1800,,SH,shale,shale,SH,TRUE,6,-22,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,Amisk1800SH6-22,0,FALSE,,,,
Amisk Group ,Amisk,1800,,SH,shale,shale,SH,TRUE,6,-20.7,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,Amisk1800SH6-20.7,0,FALSE,,,,
Amisk Group ,Amisk,1800,,SH,shale,shale,SH,TRUE,13,-28.6,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,Amisk1800SH13-28.6,0,FALSE,,,,
Amisk Group ,Amisk,1800,,SH,shale,shale,SH,TRUE,10,-28,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,Amisk1800SH10-28,0,FALSE,,,,
Amisk Group ,Amisk,1800,,SH,shale,shale,SH,TRUE,4,-27.9,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,Amisk1800SH4-27.9,0,FALSE,,,,
Amisk Group ,Amisk,1800,,SH,shale,shale,SH,TRUE,8,-27.8,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,Amisk1800SH8-27.8,0,FALSE,,,,
Amisk Group ,Amisk,1800,,SH,shale,shale,SH,TRUE,6,-27.1,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,Amisk1800SH6-27.1,0,FALSE,,,,
Amisk Group ,Amisk,1800,,SH,shale,shale,SH,TRUE,12,-28.5,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,Amisk1800SH12-28.5,0,FALSE,,,,
Amisk Group ,Amisk,1800,,SH,shale,shale,SH,TRUE,16.78,-26.4,,40,STRA862653,Strauss 1992 17.4 (Summary),TRUE,Amisk1800SH16.78-26.4,1,TRUE,,,?,This may be the Owk Shale?
"Amphibole Schist Fm, Kuusamo","Amphibole Schist, Kuusamo",2050,shale,,shale,shale,SH,#N/A,4.57,-16.81,,2,karhu93,Krissansen-Totton 2015,FALSE,"Amphibole Schist, Kuusamo2050SH4.57-16.81",0,FALSE,,,,
"Anti-Atlas, Morocco",Anti-Atlas,543,carb,,carb,carb,CARB,#N/A,,,-2.147062731,542,Maloof et al. (2005),Krissansen-Totton 2015,FALSE,Anti-Atlas543.326826083026CARB-2.14706273062731,0,FALSE,,,,
"Anti-Atlas, Morocco",Anti-Atlas,538,carb,,carb,carb,CARB,#N/A,,,-1.114089552,67,Maloof et al. (2005),Krissansen-Totton 2015,FALSE,Anti-Atlas537.790221458209CARB-1.11408955223881,0,FALSE,,,,
"Anti-Atlas, Morocco",Anti-Atlas,532,carb,,carb,carb,CARB,#N/A,,,2.35995935,123,Maloof et al. (2005),Krissansen-Totton 2015,FALSE,Anti-Atlas531.979340991057CARB2.3599593495935,0,FALSE,,,,
"Anti-Atlas, Morocco",Anti-Atlas,527,carb,,carb,carb,CARB,#N/A,,,1.214566416,399,Maloof et al. (2005),Krissansen-Totton 2015,FALSE,Anti-Atlas526.653962994737CARB1.2145664160401,0,FALSE,,,,
"Anti-Atlas, Morocco",Anti-Atlas,522,carb,,carb,carb,CARB,#N/A,,,-1.726619469,678,Maloof et al. (2005),Krissansen-Totton 2015,FALSE,Anti-Atlas522.30612533466CARB-1.72661946902655,0,FALSE,,,,
"Anti-Atlas, Morocco",Anti-Atlas,518,carb,,carb,carb,CARB,#N/A,,,-0.169690096,313,Maloof et al. (2005),Krissansen-Totton 2015,FALSE,Anti-Atlas518.235598133227CARB-0.169690095846645,0,FALSE,,,,
Aok,Aok,900,lime,,lime,lime,LS,#N/A,,,2.409259259,27,Jones et al. (2010),Krissansen-Totton 2015,FALSE,Aok900LS2.40925925925926,0,FALSE,,,,
Apex,Apex,3450,chert,,chert,chert,CH,#N/A,0.1,-27,,3,pprg92,Krissansen-Totton 2015,FALSE,Apex3450CH0.1-27,0,FALSE,,,?,lol how did KT get 3450 when the actual source says 3400
Apex Basalt ,Apex,3400,,CH,chert,chert,CH,TRUE,0.1,-27,,3,PPRG,Strauss 1992 17.4 (Summary),TRUE,Apex3400CH0.1-27,0,FALSE,,,,
Aravalli,Aravalli,2350,carb,,carb,carb,CARB,#N/A,2.02,-15.1,,12,bane86,Krissansen-Totton 2015,FALSE,Aravalli2350CARB2.02-15.1,0,FALSE,,,,
Aravalli Supergroup ,Aravalli,2350,,CARB,carbonate,carbonate,CARB,TRUE,1.6,-14.7,,,BANE86.239,Strauss 1992 17.3 (Prev),FALSE,Aravalli2350CARB1.6-14.7,0,FALSE,,,,
Aravalli Supergroup ,Aravalli,2350,,CARB,carbonate,carbonate,CARB,TRUE,1.5,-15.9,,,BANE86.239,Strauss 1992 17.3 (Prev),FALSE,Aravalli2350CARB1.5-15.9,0,FALSE,,,,
Aravalli Supergroup ,Aravalli,2350,,CARB,carbonate,carbonate,CARB,TRUE,1.9,-13.7,,,BANE86.239,Strauss 1992 17.3 (Prev),FALSE,Aravalli2350CARB1.9-13.7,0,FALSE,,,,
Aravalli Supergroup ,Aravalli,2350,,CARB,carbonate,carbonate,CARB,TRUE,3.2,-14.1,,,BANE86.239,Strauss 1992 17.3 (Prev),FALSE,Aravalli2350CARB3.2-14.1,0,FALSE,,,,
Aravalli Supergroup ,Aravalli,2350,,CARB,carbonate,carbonate,CARB,TRUE,2.8,-13.2,,,BANE86.239,Strauss 1992 17.3 (Prev),FALSE,Aravalli2350CARB2.8-13.2,0,FALSE,,,,
Aravalli Supergroup ,Aravalli,2350,,CARB,carbonate,carbonate,CARB,TRUE,2.3,-14.5,,,BANE86.239,Strauss 1992 17.3 (Prev),FALSE,Aravalli2350CARB2.3-14.5,0,FALSE,,,,
Aravalli Supergroup ,Aravalli,2350,,CARB,carbonate,carbonate,CARB,TRUE,1.3,-13.9,,,BANE86.239,Strauss 1992 17.3 (Prev),FALSE,Aravalli2350CARB1.3-13.9,0,FALSE,,,,
Aravalli Supergroup ,Aravalli,2350,,CARB,carbonate,carbonate,CARB,TRUE,0.5,,,,BANE86.239,Strauss 1992 17.3 (Prev),FALSE,Aravalli2350CARB0.5,0,FALSE,,,,
Aravalli Supergroup ,Aravalli,2350,,CARB,carbonate,carbonate,CARB,TRUE,2.4,-21.8,,,BANE86.239,Strauss 1992 17.3 (Prev),FALSE,Aravalli2350CARB2.4-21.8,0,FALSE,,,,
Aravalli Supergroup ,Aravalli,2350,,CARB,carbonate,carbonate,CARB,TRUE,1.4,,,,BANE86.239,Strauss 1992 17.3 (Prev),FALSE,Aravalli2350CARB1.4,0,FALSE,,,,
Aravalli Supergroup ,Aravalli,2350,,CARB,carbonate,carbonate,CARB,TRUE,4.5,-11.4,,,BANE86.239,Strauss 1992 17.3 (Prev),FALSE,Aravalli2350CARB4.5-11.4,0,FALSE,,,,
Aravalli Supergroup ,Aravalli,2350,,CARB,carbonate,carbonate,CARB,TRUE,0.9,-17.6,,,BANE86.239,Strauss 1992 17.3 (Prev),FALSE,Aravalli2350CARB0.9-17.6,0,FALSE,,,,
Aravalli Supergroup ,Aravalli,2350,,CARB,carbonate,carbonate,CARB,TRUE,2.02,-15.1,,12,BANE86.239,Strauss 1992 17.4 (Summary),TRUE,Aravalli2350CARB2.02-15.1,1,TRUE,,,,
Areyonga,Areyonga,750,chert,,chert,chert,CH,#N/A,0.13,-27.4,,8,pprg92,Krissansen-Totton 2015,FALSE,Areyonga750CH0.13-27.4,0,FALSE,,,?,"again, off by 10 from the source they cite…"
Areyonga Formation ,Areyonga,760,,CH,chert,chert,CH,TRUE,0.13,-27.4,,8,PPRG,Strauss 1992 17.4 (Summary),TRUE,Areyonga760CH0.13-27.4,0,FALSE,,,,
Asbestos Hills,Asbestos Hills,2500,bif,,bif,bif,BIF,#N/A,0.2,-24.6,,1,hayes83,Krissansen-Totton 2015,FALSE,Asbestos Hills2500BIF0.2-24.6,0,FALSE,X,NP (bif formation),,
