Formation,Std Fm. Name,Age (Mya),Lithology,Lithology Code,VL Lith Name 1,Std Lithology,Std Lithology Code,check codes,TOC,d13C-org,d13C-carb,N,Internal Ref,External Ref,Summary?,"Duplicate Search Key (Std Name, Age, Std Lith Code, TOC, d13-org, d13-org)",Countif Dupl.,Duplicate?,Filtered (K-T),Reason,Filtered (us),Reason
Skillogalee Dolomite: ,Skillogalee,770,,CH,chert,chert,CH,TRUE,0.46,-20.1,,22,PPRG,Strauss 1992 17.4 (Summary),TRUE,Skillogalee770CH0.46-20.1,0,FALSE,,,,
Skillogalee Dolomite: ,Skillogalee,770,,DOL,dolostone,dolostone,DOL,TRUE,,,-1.1,2,SCHI75...1,Strauss 1992 17.4 (Summary),TRUE,Skillogalee770DOL-1.1,0,FALSE,,,,
Skillogalee Dolomite: ,Skillogalee,770,,DOL,dolostone,dolostone,DOL,TRUE,,,-2,1,EICH75.585,Strauss 1992 17.4 (Summary),TRUE,Skillogalee770DOL-2,2,TRUE,,,,
Skillogalee Dolomite: ,Skillogalee,770,,DOL,dolostone,dolostone,DOL,TRUE,,,2.5,5,VEIZ761387,Strauss 1992 17.4 (Summary),TRUE,Skillogalee770DOL2.5,0,FALSE,,,,
"Smythe, Nathan Gp",Smythe,1600,dol,,dol,dol,DOL,#N/A,,,0.41,3,lindsay00,Krissansen-Totton 2015,FALSE,Smythe1600DOL0.41,0,FALSE,,,,
"Snowslip, Belt Sgp",Snowslip,1450,lime,,lime,lime,LS,#N/A,,,-1.96,5,hall96,Krissansen-Totton 2015,FALSE,Snowslip1450LS-1.96,0,FALSE,,,,
"Snowslip, Belt Sgp",Snowslip,1450,dol,,dol,dol,DOL,#N/A,,,-0.82,5,hall96,Krissansen-Totton 2015,FALSE,Snowslip1450DOL-0.82,0,FALSE,,,,
"Society Cliff Fm, Bylot Spgp",Society Cliffs,1221,Chert ,,Chert ,Chert ,CH,#N/A,1.335,-27.25,,6,Kah et al. (1999) Can.J.Earth Sci.,Krissansen-Totton 2015,FALSE,Society Cliffs1221CH1.335-27.25,0,FALSE,,,,
"Society Cliff Fm, Bylot Spgp",Society Cliffs,1210,dolomite,,dolomite,dolomite,DOL,#N/A,0.9375,-26.075,,20,Kah et al. (1999) Can.J.Earth Sci.,Krissansen-Totton 2015,FALSE,Society Cliffs1210DOL0.9375-26.075,0,FALSE,,,,
"Society Cliff Fm, Bylot Spgp",Society Cliffs,1210,dol,,dol,dol,DOL,#N/A,,,2.611111111,18,Kah et al. (1999) Can.J.Earth Sci.,Krissansen-Totton 2015,FALSE,Society Cliffs1210DOL2.61111111111111,0,FALSE,,,,
Society Cliffs,Society Cliffs,1175,dol,,dol,dol,DOL,#N/A,0.94,-25.08,,20,kah99,Krissansen-Totton 2015,FALSE,Society Cliffs1175DOL0.94-25.08,0,FALSE,,,,
Society Cliffs,Society Cliffs,1175,chert,,chert,chert,CH,#N/A,1.34,-27.25,,6,kah99,Krissansen-Totton 2015,FALSE,Society Cliffs1175CH1.34-27.25,0,FALSE,,,,
Society Cliffs Fm,Society Cliffs,1175,dol,,dol,dol,DOL,#N/A,,,3.65,76,kah99,Krissansen-Totton 2015,FALSE,Society Cliffs1175DOL3.65,0,FALSE,,,,
Society Cliffs Fm,Society Cliffs,1175,dol,,dol,dol,DOL,#N/A,,,2.5,69,kah01,Krissansen-Totton 2015,FALSE,Society Cliffs1175DOL2.5,0,FALSE,,,,
Society Cliffs Fm,Society Cliffs,1175,lime,,lime,lime,LS,#N/A,,,2.5,3,kah01,Krissansen-Totton 2015,FALSE,Society Cliffs1175LS2.5,0,FALSE,,,,
Society Cliffs Fm,Society Cliffs,1175,shale,,shale,shale,SH,#N/A,,,-0.2,6,kah01,Krissansen-Totton 2015,FALSE,Society Cliffs1175SH-0.2,0,FALSE,,,,
Sompujarvi,Sompujarvi,2225,dol,,dol,dol,DOL,#N/A,,,8.6,1,karhu93,Krissansen-Totton 2015,FALSE,Sompujarvi2225DOL8.6,0,FALSE,,,,
Soudan,Soudan,2650,shale,,shale,shale,SH,#N/A,,-33.7,,1,hoer67,Krissansen-Totton 2015,FALSE,Soudan2650SH-33.7,0,FALSE,,,,
Soudan,Soudan,2650,bif,,bif,bif,BIF,#N/A,0.1,-29.5,,2,pprg92,Krissansen-Totton 2015,FALSE,Soudan2650BIF0.1-29.5,0,FALSE,X,NP (bif),,
Soudan Iron Formation ,Soudan,2650,,SH,shale,shale,SH,TRUE,-33.7,,,,HOER67.365,Strauss 1992 17.3 (Prev),FALSE,Soudan2650SH-33.7,1,TRUE,,,,
Soudan Iron Formation ,Soudan,2650,,SH,shale,shale,SH,TRUE,,-33.7,,1,HOER67.365,Strauss 1992 17.4 (Summary),TRUE,Soudan2650SH-33.7,2,TRUE,,,,
Soudan Iron Formation ,Soudan,2650,,BIF,banded iron formation,banded iron formation,BIF,TRUE,0.1,-29.5,,2,PPRG,Strauss 1992 17.4 (Summary),TRUE,Soudan2650BIF0.1-29.5,1,TRUE,,,,
Spain,Spain,625,shale,,shale,shale,SH,#N/A,1.2,-29.7,,3,pprg92,Krissansen-Totton 2015,FALSE,Spain625SH1.2-29.7,0,FALSE,,,?,"man,"
Spain,Spain,625,carb,,carb,carb,CARB,#N/A,1.05,-27.1,,2,pprg92,Krissansen-Totton 2015,FALSE,Spain625CARB1.05-27.1,0,FALSE,,,?,"man,"
Spartan,Spartan,1900,shale,,shale,shale,SH,#N/A,6.46,-29.9,,3,pprg92,Krissansen-Totton 2015,FALSE,Spartan1900SH6.46-29.9,0,FALSE,,,,
Spartan Group ,Spartan,1900,,SH,shale,shale,SH,TRUE,6.46,-29.9,,,PPRG,Strauss 1992 17.4 (Summary),TRUE,Spartan1900SH6.46-29.9,1,TRUE,,,,
Spiral Ck,Spiral Creek,625,carb,,carb,carb,CARB,#N/A,,-28.4,,2,knoll86,Krissansen-Totton 2015,FALSE,Spiral Creek625CARB-28.4,0,FALSE,,,,
Spiral Ck,Spiral Creek,625,carb,,carb,carb,CARB,#N/A,,,-2.6,2,knoll86,Krissansen-Totton 2015,FALSE,Spiral Creek625CARB-2.6,0,FALSE,,,,
Spiral Creek Formation ,Spiral Creek,630,,DOL,dolostone,dolostone,DOL,TRUE,3,-27.1,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,Spiral Creek630DOL3-27.1,0,FALSE,,,,
Spiral Creek Formation ,Spiral Creek,630,,DOL,dolostone,dolostone,DOL,TRUE,0.6,-29.6,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,Spiral Creek630DOL0.6-29.6,0,FALSE,,,,
Spiral Creek Formation ,Spiral Creek,630,,DOL,dolostone,dolostone,DOL,TRUE,,,-4,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,Spiral Creek630DOL-4,0,FALSE,,,,
Spiral Creek Formation ,Spiral Creek,630,,DOL,dolostone,dolostone,DOL,TRUE,,,-1.1,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,Spiral Creek630DOL-1.1,0,FALSE,,,,
Spiral Creek Formation ,Spiral Creek,630,,CARB,carbonate,carbonate,CARB,TRUE,,-28.4,,2,KNOL86.823,Strauss 1992 17.4 (Summary),TRUE,Spiral Creek630CARB-28.4,0,FALSE,,,,
Spiral Creek Formation ,Spiral Creek,630,,,#N/A,unknown,UND,#N/A,,,-2.6,2,KNOL86.832,Strauss 1992 17.4 (Summary),TRUE,Spiral Creek630UND-2.6,0,FALSE,,,,
Spokane,Spokane,1450,dol,,dol,dol,DOL,#N/A,,,-3.18,10,lange87,Krissansen-Totton 2015,FALSE,Spokane1450DOL-3.18,0,FALSE,,,,
Spokane Formation ,Spokane,1250,,DOL,dolostone,dolostone,DOL,TRUE,,,-3.8,,LANG871334,Strauss 1992 17.3 (Prev),FALSE,Spokane1250DOL-3.8,0,FALSE,,,,
Spokane Formation ,Spokane,1250,,DOL,dolostone,dolostone,DOL,TRUE,,,-3.2,,LANG871334,Strauss 1992 17.3 (Prev),FALSE,Spokane1250DOL-3.2,0,FALSE,,,,
Spokane Formation ,Spokane,1250,,DOL,dolostone,dolostone,DOL,TRUE,,,-3.8,,LANG871334,Strauss 1992 17.3 (Prev),FALSE,Spokane1250DOL-3.8,1,TRUE,,,,
Spokane Formation ,Spokane,1250,,DOL,dolostone,dolostone,DOL,TRUE,,,-3.7,,LANG871334,Strauss 1992 17.3 (Prev),FALSE,Spokane1250DOL-3.7,0,FALSE,,,,
Spokane Formation ,Spokane,1250,,DOL,dolostone,dolostone,DOL,TRUE,,,-3.2,,LANG871334,Strauss 1992 17.3 (Prev),FALSE,Spokane1250DOL-3.2,1,TRUE,,,,
Spokane Formation ,Spokane,1250,,DOL,dolostone,dolostone,DOL,TRUE,,,-3.6,,LANG871334,Strauss 1992 17.3 (Prev),FALSE,Spokane1250DOL-3.6,0,FALSE,,,,
Spokane Formation ,Spokane,1250,,DOL,dolostone,dolostone,DOL,TRUE,,,-4,,LANG871334,Strauss 1992 17.3 (Prev),FALSE,Spokane1250DOL-4,0,FALSE,,,,
Spokane Formation ,Spokane,1250,,DOL,dolostone,dolostone,DOL,TRUE,,,-1.4,,LANG871334,Strauss 1992 17.3 (Prev),FALSE,Spokane1250DOL-1.4,0,FALSE,,,,
Spokane Formation ,Spokane,1250,,DOL,dolostone,dolostone,DOL,TRUE,,,-1.4,,LANG871334,Strauss 1992 17.3 (Prev),FALSE,Spokane1250DOL-1.4,1,TRUE,,,,
Spokane Formation ,Spokane,1250,,DOL,dolostone,dolostone,DOL,TRUE,,,-3.7,,LANG871334,Strauss 1992 17.3 (Prev),FALSE,Spokane1250DOL-3.7,1,TRUE,,,,
Spokane Formation ,Spokane,1250,,DOL,dolostone,dolostone,DOL,TRUE,,,-3.2,10,LANG871334,Strauss 1992 17.4 (Summary),TRUE,Spokane1250DOL-3.2,2,TRUE,,,,
"Spokane/Greyson, Belt Sgp",Spokane,1450,lime,,lime,lime,LS,#N/A,,,1.55,6,hall96,Krissansen-Totton 2015,FALSE,Spokane1450LS1.55,0,FALSE,,,,
Steep Rock,Steep Rock,2725,lime,,lime,lime,LS,#N/A,,,2,2,veizer76,Krissansen-Totton 2015,FALSE,Steep Rock2725LS2,0,FALSE,,,,
Steep Rock,Steep Rock,2600,shale,,shale,shale,SH,#N/A,1.7,-26.9,,1,hayes83,Krissansen-Totton 2015,FALSE,Steep Rock2600SH1.7-26.9,0,FALSE,,,,
Steep Rock,Steep Rock,2600,lime ,,lime ,lime ,LS,#N/A,,-24.5,,3,hayes83,Krissansen-Totton 2015,FALSE,Steep Rock2600LS-24.5,0,FALSE,,,,
Steep Rock,Steep Rock,2600,chert,,chert,chert,CH,#N/A,1.35,-28.4,,2,hayes83,Krissansen-Totton 2015,FALSE,Steep Rock2600CH1.35-28.4,0,FALSE,,,,
Steep Rock Group ,Steep Rock,2600,,LS,limestone,limestone,LS,TRUE,,,1.4,,SCHI83.149,Strauss 1992 17.3 (Prev),FALSE,Steep Rock2600LS1.4,0,FALSE,,,,
Steep Rock Group ,Steep Rock,2600,,CARB,carbonate,carbonate,CARB,TRUE,,,1.1,,SCHI83.149,Strauss 1992 17.3 (Prev),FALSE,Steep Rock2600CARB1.1,0,FALSE,,,,
Steep Rock Group ,Steep Rock,2600,,CH,chert,chert,CH,TRUE,,,2.1,,SCHI83.149,Strauss 1992 17.3 (Prev),FALSE,Steep Rock2600CH2.1,0,FALSE,,,,
Steep Rock Group ,Steep Rock,2600,,LS,limestone,limestone,LS,TRUE,,,2,,VEIZ761387,Strauss 1992 17.3 (Prev),FALSE,Steep Rock2600LS2,0,FALSE,,,,
Steep Rock Group ,Steep Rock,2600,,LS,limestone,limestone,LS,TRUE,,,1.9,,VEIZ761387,Strauss 1992 17.3 (Prev),FALSE,Steep Rock2600LS1.9,0,FALSE,,,,
Steep Rock Group ,Steep Rock,2600,,LS,limestone,limestone,LS,TRUE,0.2,-25,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,Steep Rock2600LS0.2-25,0,FALSE,,,,
Steep Rock Group ,Steep Rock,2600,,LS,limestone,limestone,LS,TRUE,0.5,-26.4,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,Steep Rock2600LS0.5-26.4,0,FALSE,,,,
Steep Rock Group ,Steep Rock,2600,,LS,limestone,limestone,LS,TRUE,0.6,-22.1,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,Steep Rock2600LS0.6-22.1,0,FALSE,,,,
Steep Rock Group ,Steep Rock,2600,,CH,chert,chert,CH,TRUE,2.3,-30.7,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,Steep Rock2600CH2.3-30.7,0,FALSE,,,,
Steep Rock Group ,Steep Rock,2600,,CH,chert,chert,CH,TRUE,0.4,-26,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,Steep Rock2600CH0.4-26,0,FALSE,,,,
Steep Rock Group ,Steep Rock,2600,,SH,shale,shale,SH,TRUE,1.7,-26.9,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,Steep Rock2600SH1.7-26.9,1,TRUE,,,,
Steep Rock Group ,Steep Rock,2600,,"CARB, CH",carbonate and chert,carbonate and chert,"CARB, CH",TRUE,,,1.5,3,SCHI83.149,Strauss 1992 17.4 (Summary),TRUE,"Steep Rock2600CARB, CH1.5",0,FALSE,,,,
Steep Rock Group ,Steep Rock,2600,,LS,limestone,limestone,LS,TRUE,,,2,2,VEIZ761387,Strauss 1992 17.4 (Summary),TRUE,Steep Rock2600LS2,1,TRUE,,,,
Steep Rock Group ,Steep Rock,2600,,LS,limestone,limestone,LS,TRUE,,-24.5,,3,HAYE83..93,Strauss 1992 17.4 (Summary),TRUE,Steep Rock2600LS-24.5,1,TRUE,,,,
Steep Rock Group ,Steep Rock,2600,,CH,chert,chert,CH,TRUE,1.35,-28.4,,2,HAYE83..93,Strauss 1992 17.4 (Summary),TRUE,Steep Rock2600CH1.35-28.4,1,TRUE,,,,
Steep Rock Group ,Steep Rock,2600,,SH,shale,shale,SH,TRUE,1.7,-26.9,,1,HAYE83..93,Strauss 1992 17.4 (Summary),TRUE,Steep Rock2600SH1.7-26.9,2,TRUE,,,,
"Steep Rock, Rainy River",Steep Rock,2725,lime,,lime,lime,LS,#N/A,,,1.94,42,veizer89b,Krissansen-Totton 2015,FALSE,Steep Rock2725LS1.94,0,FALSE,,,,
"Steep Rock, Rainy River",Steep Rock,2725,dol,,dol,dol,DOL,#N/A,,,1.15,5,veizer89b,Krissansen-Totton 2015,FALSE,Steep Rock2725DOL1.15,0,FALSE,,,,
"Steep Rock, Rainy River",Steep Rock,2725,ank,,ank,ank,ANK,#N/A,,,2.9,1,veizer89b,Krissansen-Totton 2015,FALSE,Steep Rock2725ANK2.9,0,FALSE,,,,
"Steep Rock, Rainy River",Steep Rock,2725,carb,,carb,carb,CARB,#N/A,,,1.5,3,schid83,Krissansen-Totton 2015,FALSE,Steep Rock2725CARB1.5,0,FALSE,,,,
"Steep Rock, Steep Rock",Steep Rock,2725,lime,,lime,lime,LS,#N/A,,,-3.15,2,veizer89a,Krissansen-Totton 2015,FALSE,Steep Rock2725LS-3.15,0,FALSE,,,,
"Steep Rock, Steep Rock",Steep Rock,2725,ank,,ank,ank,ANK,#N/A,,,-1.65,4,veizer89a,Krissansen-Totton 2015,FALSE,Steep Rock2725ANK-1.65,0,FALSE,,,,
Steeprock Group ,Steep Rock,2600,,CH,chert,chert,CH,TRUE,,0.009,,,HAYE83..93,Strauss 1992 17.9 (Prev),FALSE,Steep Rock2600CH0.009,0,FALSE,,,,
Steeprock Group ,Steep Rock,2600,,CH,chert,chert,CH,TRUE,,-27.2,,1,HAYE83..93,Strauss 1992 17.10 (Summary),TRUE,Steep Rock2600CH-27.2,0,FALSE,,,,
Stoer Bay,Stoer Bay,950,shale,,shale,shale,SH,#N/A,,-29.1,,1,jack78,Krissansen-Totton 2015,FALSE,Stoer Bay950SH-29.1,0,FALSE,,,,
Stoer Bay Formation ,Stoer Bay,950,,SH,shale,shale,SH,TRUE,,-29.1,,,JACK78.335,Strauss 1992 17.3 (Prev),FALSE,Stoer Bay950SH-29.1,1,TRUE,,,,
Stoer Bay Formation ,Stoer Bay,950,,SH,shale,shale,SH,TRUE,,-29.1,,1,JACK78.335,Strauss 1992 17.4 (Summary),TRUE,Stoer Bay950SH-29.1,2,TRUE,,,,
"Stretton, McArthur Gp",Stretton,1625,dol,,dol,dol,DOL,#N/A,,,-0.65,3,lindsay00,Krissansen-Totton 2015,FALSE,Stretton1625DOL-0.65,0,FALSE,,,,
Strubenkop,Strubenkop,2200,shale,,shale,shale,SH,#N/A,0.09,-25.3,,3,Watanabe et al. (1997),Krissansen-Totton 2015,FALSE,Strubenkop2200SH0.09-25.3,0,FALSE,,,,
Sturtian,Sturtian,750,lime,,lime,lime,LS,#N/A,,,2.9,3,veiz76,Krissansen-Totton 2015,FALSE,Sturtian750LS2.9,0,FALSE,,,,
Sturtian ,Sturtian,750,,LS,limestone,limestone,LS,TRUE,,,2.2,,VEIZ761387,Strauss 1992 17.3 (Prev),FALSE,Sturtian750LS2.2,0,FALSE,,,,
Sturtian ,Sturtian,750,,LS,limestone,limestone,LS,TRUE,,,2.7,,VEIZ761387,Strauss 1992 17.3 (Prev),FALSE,Sturtian750LS2.7,0,FALSE,,,,
Sturtian ,Sturtian,750,,LS,limestone,limestone,LS,TRUE,,,3.8,,VEIZ761387,Strauss 1992 17.3 (Prev),FALSE,Sturtian750LS3.8,0,FALSE,,,,
Sturtian ,Sturtian,750,,LS,limestone,limestone,LS,TRUE,,,2.9,3,VEIZ761387,Strauss 1992 17.4 (Summary),TRUE,Sturtian750LS2.9,1,TRUE,,,,
Sukhaya Tunguska,Sukhaya Tunguska,1025,chert,,chert,chert,CH,#N/A,0.18,-26.5,,1,pprg92,Krissansen-Totton 2015,FALSE,Sukhaya Tunguska1025CH0.18-26.5,0,FALSE,,,,
Sukhaya Tunguska Fm,Sukhaya Tunguska,1025,lime,,lime,lime,LS,#N/A,,,0.5,26,bart01,Krissansen-Totton 2015,FALSE,Sukhaya Tunguska1025LS0.5,0,FALSE,,,,
Sukhaya Tunguska Fm,Sukhaya Tunguska,1025,dol,,dol,dol,DOL,#N/A,,,-0.6,22,knoll95a,Krissansen-Totton 2015,FALSE,Sukhaya Tunguska1025DOL-0.6,0,FALSE,,,,
"Sukhaya Tunguska Fm, Sukhaya Tunguska",Sukhaya Tunguska,1025,lime,,lime,lime,LS,#N/A,,,1.53,6,knoll95a,Krissansen-Totton 2015,FALSE,Sukhaya Tunguska1025LS1.53,0,FALSE,,,,
Sukhaya Tunguska Formation ,Sukhaya Tunguska,1000,,CH,chert,chert,CH,TRUE,0.18,-26.5,,1,PPRG,Strauss 1992 17.4 (Summary),TRUE,Sukhaya Tunguska1000CH0.18-26.5,0,FALSE,,,,
Svanbergfjellet,Svanbergfjellet,792,carb,,carb,carb,CARB,#N/A,,,3.256013292,163,Halverson et al. (2005),Krissansen-Totton 2015,FALSE,Svanbergfjellet791.744829083102CARB3.25601329243354,0,FALSE,,,,
Svanbergfjellet,Svanbergfjellet,750,shale,,shale,shale,SH,#N/A,2.8,-31,,1,knoll86,Krissansen-Totton 2015,FALSE,Svanbergfjellet750SH2.8-31,0,FALSE,,,,
Svanbergfjellet,Svanbergfjellet,750,carb,,carb,carb,CARB,#N/A,1.53,-27.1,,3,knoll86,Krissansen-Totton 2015,FALSE,Svanbergfjellet750CARB1.53-27.1,0,FALSE,,,,
Svanbergfjellet,Svanbergfjellet,750,carb,,carb,carb,CARB,#N/A,,,2.3,4,knoll86,Krissansen-Totton 2015,FALSE,Svanbergfjellet750CARB2.3,0,FALSE,,,,
Svanbergfjellet Formation ,Svanbergfjellet,750,,LS,limestone,limestone,LS,TRUE,0.8,-26.3,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,Svanbergfjellet750LS0.8-26.3,0,FALSE,,,,
Svanbergfjellet Formation ,Svanbergfjellet,750,,LS,limestone,limestone,LS,TRUE,3.4,-27.7,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,Svanbergfjellet750LS3.4-27.7,0,FALSE,,,,
Svanbergfjellet Formation ,Svanbergfjellet,750,,SH,shale,shale,SH,TRUE,2.8,-31,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,Svanbergfjellet750SH2.8-31,1,TRUE,,,,
Svanbergfjellet Formation ,Svanbergfjellet,750,,CARB,carbonate,carbonate,CARB,TRUE,0.4,-27.4,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,Svanbergfjellet750CARB0.4-27.4,0,FALSE,,,,
Svanbergfjellet Formation ,Svanbergfjellet,750,,LS,limestone,limestone,LS,TRUE,,,4.8,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,Svanbergfjellet750LS4.8,0,FALSE,,,,
Svanbergfjellet Formation ,Svanbergfjellet,750,,LS,limestone,limestone,LS,TRUE,,,4.6,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,Svanbergfjellet750LS4.6,0,FALSE,,,,
Svanbergfjellet Formation ,Svanbergfjellet,750,,DOL,dolostone,dolostone,DOL,TRUE,,,2.4,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,Svanbergfjellet750DOL2.4,0,FALSE,,,,
Svanbergfjellet Formation ,Svanbergfjellet,750,,DOL,dolostone,dolostone,DOL,TRUE,,,-2.4,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,Svanbergfjellet750DOL-2.4,0,FALSE,,,,
Svanbergfjellet Formation ,Svanbergfjellet,750,,CARB,carbonate,carbonate,CARB,TRUE,1.53,-27.1,,3,KNOL86.823,Strauss 1992 17.4 (Summary),TRUE,Svanbergfjellet750CARB1.53-27.1,1,TRUE,,,,
Svanbergfjellet Formation ,Svanbergfjellet,750,,SH,shale,shale,SH,TRUE,2.8,-31,,1,KNOL86.823,Strauss 1992 17.4 (Summary),TRUE,Svanbergfjellet750SH2.8-31,2,TRUE,,,,
Svanbergfjellet Formation ,Svanbergfjellet,750,,CARB,carbonate,carbonate,CARB,TRUE,,2.3,,4,KNOL86.832,Strauss 1992 17.4 (Summary),TRUE,Svanbergfjellet750CARB2.3,1,TRUE,,,,
North Svecofennian,Svecofennian,1925,lime,,lime,lime,LS,#N/A,,,-2.03,3,karhu93,Krissansen-Totton 2015,FALSE,Svecofennian1925LS-2.03,0,FALSE,,,,
North Svecofennian,Svecofennian,1925,dol,,dol,dol,DOL,#N/A,,,-0.3,1,karhu93,Krissansen-Totton 2015,FALSE,Svecofennian1925DOL-0.3,0,FALSE,,,,
Northeast Svecofennian,Svecofennian,1925,lime,,lime,lime,LS,#N/A,,,1.83,9,karhu93,Krissansen-Totton 2015,FALSE,Svecofennian1925LS1.83,0,FALSE,,,,
Northeast Svecofennian,Svecofennian,1925,dol,,dol,dol,DOL,#N/A,,,2.3,5,karhu93,Krissansen-Totton 2015,FALSE,Svecofennian1925DOL2.3,0,FALSE,,,,
South Svecofennian,Svecofennian,1925,lime,,lime,lime,LS,#N/A,,,0.24,15,karhu93,Krissansen-Totton 2015,FALSE,Svecofennian1925LS0.24,0,FALSE,,,,
South Svecofennian,Svecofennian,1925,dol,,dol,dol,DOL,#N/A,,,0.22,2,karhu93,Krissansen-Totton 2015,FALSE,Svecofennian1925DOL0.22,0,FALSE,,,,
Svecofennian,Svecofennian,2100,carb,,carb,carb,CARB,#N/A,,,0.5,2,schid75,Krissansen-Totton 2015,FALSE,Svecofennian2100CARB0.5,0,FALSE,,,,
Svecofennian ,Svecofennian,2100,,LS,limestone,limestone,LS,TRUE,,,0.9,,SCHI75...1,Strauss 1992 17.3 (Prev),FALSE,Svecofennian2100LS0.9,0,FALSE,,,,
Svecofennian ,Svecofennian,2100,,DOL,dolostone,dolostone,DOL,TRUE,,,0.1,,SCHI75...1,Strauss 1992 17.3 (Prev),FALSE,Svecofennian2100DOL0.1,0,FALSE,,,,
Svecofennian ,Svecofennian,2100,,CARB,carbonate,carbonate,CARB,TRUE,,,0.5,2,SCHI75...1,Strauss 1992 17.4 (Summary),TRUE,Svecofennian2100CARB0.5,1,TRUE,,,,
"Svetlyi Fm, Uchur-Maya",Sveltyi,1050,dol,,dol,dol,DOL,#N/A,,,0.4,13,bartley01,Krissansen-Totton 2015,FALSE,Sveltyi1050DOL0.4,0,FALSE,,,,
Swartkoppie,Swartkoppie,3450,chert,,chert,chert,CH,#N/A,3.21,-26.4,,7,hayes83,Krissansen-Totton 2015,FALSE,Swartkoppie3450CH3.21-26.4,0,FALSE,,,,
Swartkoppie,Swartkoppie,3450,chert,,chert,chert,CH,#N/A,,-27.7,,3,oehl72,Krissansen-Totton 2015,FALSE,Swartkoppie3450CH-27.7,0,FALSE,,,,
Swartkoppie,Swartkoppie,3450,chert,,chert,chert,CH,#N/A,,-27.6,,1,leven75,Krissansen-Totton 2015,FALSE,Swartkoppie3450CH-27.6,0,FALSE,,,,
Swartkoppie,Swartkoppie,3450,chert,,chert,chert,CH,#N/A,,-26.9,,1,jack78,Krissansen-Totton 2015,FALSE,Swartkoppie3450CH-26.9,0,FALSE,,,,
Swartkoppie Formation ,Swartkoppie,3450,,CH,chert,chert,CH,TRUE,,-26.9,,,JACK78.335,Strauss 1992 17.3 (Prev),FALSE,Swartkoppie3450CH-26.9,1,TRUE,,,,
Swartkoppie Formation ,Swartkoppie,3450,,CH,chert,chert,CH,TRUE,0.3,-24.7,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,Swartkoppie3450CH0.3-24.7,0,FALSE,,,,
Swartkoppie Formation ,Swartkoppie,3450,,CH,chert,chert,CH,TRUE,2,-23.4,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,Swartkoppie3450CH2-23.4,0,FALSE,,,,
Swartkoppie Formation ,Swartkoppie,3450,,CH,chert,chert,CH,TRUE,0.8,-25.7,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,Swartkoppie3450CH0.8-25.7,0,FALSE,,,,
Swartkoppie Formation ,Swartkoppie,3450,,CH,chert,chert,CH,TRUE,1.6,-32.4,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,Swartkoppie3450CH1.6-32.4,0,FALSE,,,,
Swartkoppie Formation ,Swartkoppie,3450,,CH,chert,chert,CH,TRUE,16,-26.7,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,Swartkoppie3450CH16-26.7,0,FALSE,,,,
Swartkoppie Formation ,Swartkoppie,3450,,CH,chert,chert,CH,TRUE,1.6,-30.5,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,Swartkoppie3450CH1.6-30.5,0,FALSE,,,,
Swartkoppie Formation ,Swartkoppie,3450,,H,schist,schist,H,TRUE,0.2,-21.3,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,Swartkoppie3450H0.2-21.3,0,FALSE,,,,
Swartkoppie Formation ,Swartkoppie,3450,,CH,chert,chert,CH,TRUE,3.5,-27.6,,,LEVE754706,Strauss 1992 17.3 (Prev),FALSE,Swartkoppie3450CH3.5-27.6,0,FALSE,,,,
Swartkoppie Formation ,Swartkoppie,3450,,CH,chert,chert,CH,TRUE,,-24.9,,,OEHL721246,Strauss 1992 17.3 (Prev),FALSE,Swartkoppie3450CH-24.9,0,FALSE,,,,
Swartkoppie Formation ,Swartkoppie,3450,,CH,chert,chert,CH,TRUE,,-26.9,,,OEHL721246,Strauss 1992 17.3 (Prev),FALSE,Swartkoppie3450CH-26.9,2,TRUE,,,,
Swartkoppie Formation ,Swartkoppie,3450,,CH,chert,chert,CH,TRUE,,-31.4,,,OEHL721246,Strauss 1992 17.3 (Prev),FALSE,Swartkoppie3450CH-31.4,0,FALSE,,,,
