Field ID,Stratigraphic Position Relative to Khc/PgFtu Contact [m],Percent Sand,Percent Silt,Percent Clay,Percent Organic,Rock Type,d13C [‰] (PDB),Standard Devation [‰],Weight Percent Organic Carbon,Excursion
Herman Ridge Section,,,,,,,,,,
MT02-161,-56.97,37,43,15,5,Mudstone,-25.09,0.03,0.2,
MT02-160,-57.15,8,33,60,0,Mudstone,-26.59,0.03,3.4,
MT02-159,-57.26,,,,,Mudstone,-25.26,0.04,0.7,
MT02-131,-65.45,3,22,62,14,Mudstone,-27.06,0.01,1.2,Neg4
MT02-115,-69.56,0,30,70,0,Mudstone,-21.87,0.03,0.1,Pos2
MT02-114,-69.76,,,,,Mudstone,-21.27,0.14,0.1,
MT02-113,-69.96,,,,,Mudstone,-22.24,0.1,0.1,
MT02-093,-74.12,,,,,Mudstone,-25.58,0.11,0.9,Neg5
MT02-088,-75.12,2,55,40,3,Mudstone,-22.66,0.13,0.1,Pos3
MT02-087,-75.34,0,55,45,0,Mudstone,-22.12,0.06,0.1,
MT02-086,-75.54,,,,,Mudstone,-22.4,0.04,0.1,
MT02-078,-77.84,,,,,Mudstone,-21.65,0.06,0.1,Pos4
MT02-077,-78.04,,,,,Mudstone,-22.56,0.09,0.1,
MT02-059,-82.16,,,,,Mudstone,-26.58,0.09,0.1,Neg6
MT02-058,-82.36,7,49,39,6,Mudstone,-27.57,0.12,0.1,
MT02-042,-85.16,,,,,Sandstone,-25.39,0.14,0,
MT02-041,-85.37,,,,,Mudstone,-25.69,0.15,0.2,
MT02-040,-85.54,,,,,Sandstone,-24.97,0.15,0.1,
MT02-039,-85.68,,,,,Mudstone,-25.63,0.06,0.3,
MT02-038,-85.75,,,,,Sandstone,-26.18,0.19,0.1,
MT02-037,-85.84,,,,,Mudstone,-25.97,0.08,0.3,
MT02-036,-85.94,,,,,Sandstone,-24.49,0.12,0.1,
MT02-035,-86.04,,,,,Mudstone,-25.69,0.13,0.2,
MT02-034,-86.81,,,,,Sandstone,-24.86,0.11,0.1,
MT02-033,-86.69,,,,,Mudstone,-25.99,0.07,0.2,
MT02-032,-86.9,,,,,Sandstone,-25.03,0.06,0,
MT02-031,-87.13,58,33,9,0,Mudstone,-25.54,0.09,0.1,
MT02-030,-87.22,72,26,2,0,Sandstone,-25.34,0.11,0,
MT02-029,-87.34,,,,,Mudstone,-25.86,0.02,0.1,
MT02-028,-87.42,,,,,Sandstone,-25.49,0.19,0,
