,"Location 1: Chuckanut Fm, Washington USA",,,,,,,
KEY,Sample ID,Strat Ht (m),Lithology,N%,?15N (AIR),"C% (TOC, wt %)",C/N,?13C (VPDB)
23353,76-54-042 z,45.3,clay,,,0.5,,-24.7
23355,76-54-044,46,silt,,,0.31,,-24.3
23356,76-54-046,46.5,clayey silt,,,0.43,,-24.4
23357,76-54-048,47,clayey silt,,,0.25,,-24.3
23358,76-54-049,47.3,carb silt,,,0.86,,-25.3
23359,76-54-051,48.2,coal,1.11,3.7,43.21,45.42,-24.5
23360,76-54-055,49.7,f. sand,,,0.49,,-24.2
23361,76-54-057,50.3,sand,,,0.22,,-25.7
23361,76-54-057 z,50.3,sand,,,0.2,,-26.7
23363,76-54-063,53.5,coal,0.93,3.9,37.67,47.33,-24.6
23364,76-54-064,53.8,coal,1.19,3.5,59.4,58.43,-23.2
23365,76-54-065,54.9,coaly clay,0.56,3.8,23.59,48.86,-23.6
23366,76-54-066,55.2,coal,1.2,3.1,48.95,47.62,-23.3
23367,76-54-067,55.8,coal,1.08,3.2,47.79,51.81,-23.7
23367,76-54-067 z,55.8,coal,1.33,3.1,59.42,52.17,-23.7
23369,76-54-068,56.6,clay,,,0.41,,-24.3
23370,76-54-069,56.9,clay,,,0.38,,-24
23371,76-54-070,57.2,c.sand,,,0.21,,-24.6
23372,76-54-071,57.6,clay,,,0.48,,-25.6
23372,76-54-071 z,57.6,clay,,,0.37,,-25.7
23374,76-54-072,58.5,m. sand,,,0.17,,-24.5
23375,76-54-074,59.9,sand,,,0.11,,-25.1
23376,76-54-075,60.7,coal,0.71,3.1,29.88,48.92,-23.1
23377,76-54-076,61.6,sand,,,0.17,,-25.9
23377,76-54-076 z,61.6,sand,,,0.15,,-26
23379,76-54-077,62,c. sand,,,0.1,,-24.6
23380,76-54-078,62.7,clay,,,0.64,,-24.8
23381,76-54-079,62.8,coal,1.11,2.5,42.06,44.33,-25.8
23382,76-54-080,63.1,silt,,,0.28,,-23.7
23383,76-54-081,64,clay,,,0.4,,-24.2
23383,76-54-081 z,64,clay,,,0.38,,-24.1
23385,76-54-082,64.5,clay,,,0.34,,-23.2
23386,76-54-083,64.8,silty clay,,,0.57,,-25.3
23387,76-54-084,65.1,silt minor carb,,,0.65,,-23.6
23388,76-54-085,65.2,carb. sand,,,0.8,,-23.8
23389,76-54-086,65.4,carb. sand,,,0.56,,-23.6
23390,76-54-087,65.7,carb. silt,,,1.18,,-22.9
23391,76-54-089,66.3,silty clay,,,0.32,,-24.5
23392,76-54-090,66.9,sandy silt,,,0.35,,-24.7
23392,76-54-090 z,66.9,sandy silt,,,0.33,,-24.5
23394,76-54-091,67.1,f. sand,,,0.27,,-24.6
23395,76-54-093,67.7,carb sand,,,0.41,,-24.6
23396,76-54-094,68,f. sand,,,0.29,,-24.2
23397,76-54-096,68.6,coaly sand,,,1.23,,-23.9
23398,76-54-097,69.4,coaly sand,,,0.58,,-24.1
23398,76-54-097 z,69.4,coaly sand,,,0.57,,-24
23400,76-54-101,71.6,sand,,,0.13,,-26.3
23401,76-54-102,73,sand,,,0.12,,-25.1
23401,76-54-102 z,73,sand,,,0.11,,-24.7
23403,76-54-105,73.6,carb. c. sand,,,0.26,,-23.5
23404,76-54-106,74.7,carb. c. sand,,,0.46,,-24.1
23404,76-54-106 z,74.7,carb. c. sand,,,0.43,,-24.7
23406,76-54-107,75.6,m. sand,,,0.14,,-25.9
23406,76-54-107 z,75.6,m. sand,,,0.12,,-25.9
23408,76-54-108,77,carb. c. sand,,,0.47,,-23.4
23409,76-54-110,79.1,c. sand,,,0.1,,-25.4
23409,76-54-110 z,79.1,c. sand,,,0.09,,-25.1
23411,76-54-113,80.5,m. sand,,,0.09,,-25.2
23411,76-54-113 z,80.5,m. sand,,,0.09,,-25.4
23413,76-54-115,83.1,c. sand,,,0.13,,-25.5
23414,76-54-117,85.7,carb. sand,,,0.18,,-24.5
23415,76-54-119,86.6,coal,0.49,3.3,17.16,41.21,-21.3
23416,76-54-120,87.2,carb. sand,,,0.32,,-23.2
23417,76-54-121,89.3,sand,,,0.1,,-26.1
23418,76-54-122,89.9,sand,,,0.12,,-25.4
23418,76-54-122 z,89.9,sand,,,0.12,,-25.3
23420,76-54-123,92.1,coal,0.85,2.9,36.94,50.41,-22.6
23421,76-54-124,93.9,coal,1.16,2.9,37.62,37.83,-23.1
23422,76-54-125,96.3,clayey silt,,,0.32,,-24.4
23423,76-54-126,97.9,carb. f. sand,,,0.89,,-23.6
23423,76-54-126 z,97.9,carb. f. sand,,,0.68,,-23.5
23423,76-54-126 zz,97.9,carb. f. sand,,,0.99,,-23.5
23426,76-54-127,98.5,carb. f. sand,,,0.19,,-24.7
23426,76-54-127 z,98.5,carb. f. sand,,,0.21,,-24.6
23428,76-54-128,107.6,silty clay,,,0.44,,-23.9
23428,76-54-128 z,107.6,silty clay,,,0.47,,-23.9
23430,76-54-128.1,108.2,coal,0.23,2.2,6.79,33.93,-24.8
23431,76-54-129,110.7,clay,,,0.39,,-24
23432,76-54-129.1,111,coal,1.13,2,58.23,60.38,-24.6
23433,76-54-130,117.1,coal,0.88,3.2,43.28,57.13,-22.7
23434,76-54-131.1,122.3,clay,,,0.43,,-24.4
23435,76-54-132,125,coal,0.21,2.3,6.27,34.48,-24.7
23435,76-54-132 z,125,coal,0.2,1.9,5.73,33.33,-24.9
