Formation,Std Fm. Name,Age (Mya),Std Lithology,Std Lithology Code,TOC,d13C-org,d13C-carb,N,Internal Ref,External Ref,Summary?,Duplicate?,Filtered (K-T),Reason,Filtered (us),Reason
Skillogalee Dolomite: ,Skillogalee,770,chert,CH,0.46,-20.1,,22,PPRG,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Skillogalee Dolomite: ,Skillogalee,770,dolostone,DOL,,,-1.1,2,SCHI75...1,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Skillogalee Dolomite: ,Skillogalee,770,dolostone,DOL,,,-2,1,EICH75.585,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Skillogalee Dolomite: ,Skillogalee,770,dolostone,DOL,,,2.5,5,VEIZ761387,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
"Smythe, Nathan Gp",Smythe,1600,dol,DOL,,,0.41,3,lindsay00,Krissansen-Totton 2015,FALSE,FALSE,,,,
"Snowslip, Belt Sgp",Snowslip,1450,lime,LS,,,-1.96,5,hall96,Krissansen-Totton 2015,FALSE,FALSE,,,,
"Snowslip, Belt Sgp",Snowslip,1450,dol,DOL,,,-0.82,5,hall96,Krissansen-Totton 2015,FALSE,FALSE,,,,
"Society Cliff Fm, Bylot Spgp",Society Cliffs,1221,Chert ,CH,1.335,-27.25,,6,Kah et al. (1999) Can.J.Earth Sci.,Krissansen-Totton 2015,FALSE,FALSE,,,,
"Society Cliff Fm, Bylot Spgp",Society Cliffs,1210,dolomite,DOL,0.9375,-26.075,,20,Kah et al. (1999) Can.J.Earth Sci.,Krissansen-Totton 2015,FALSE,FALSE,,,,
"Society Cliff Fm, Bylot Spgp",Society Cliffs,1210,dol,DOL,,,2.611111111,18,Kah et al. (1999) Can.J.Earth Sci.,Krissansen-Totton 2015,FALSE,FALSE,,,,
Society Cliffs,Society Cliffs,1175,dol,DOL,0.94,-25.08,,20,kah99,Krissansen-Totton 2015,FALSE,FALSE,,,,
Society Cliffs,Society Cliffs,1175,chert,CH,1.34,-27.25,,6,kah99,Krissansen-Totton 2015,FALSE,FALSE,,,,
Society Cliffs Fm,Society Cliffs,1175,dol,DOL,,,3.65,76,kah99,Krissansen-Totton 2015,FALSE,FALSE,,,,
Society Cliffs Fm,Society Cliffs,1175,dol,DOL,,,2.5,69,kah01,Krissansen-Totton 2015,FALSE,FALSE,,,,
Society Cliffs Fm,Society Cliffs,1175,lime,LS,,,2.5,3,kah01,Krissansen-Totton 2015,FALSE,FALSE,,,,
Society Cliffs Fm,Society Cliffs,1175,shale,SH,,,-0.2,6,kah01,Krissansen-Totton 2015,FALSE,FALSE,,,,
Sompujarvi,Sompujarvi,2225,dol,DOL,,,8.6,1,karhu93,Krissansen-Totton 2015,FALSE,FALSE,,,,
Soudan,Soudan,2650,shale,SH,,-33.7,,1,hoer67,Krissansen-Totton 2015,FALSE,FALSE,,,,
Soudan,Soudan,2650,bif,BIF,0.1,-29.5,,2,pprg92,Krissansen-Totton 2015,FALSE,FALSE,X,NP (bif),,
Soudan Iron Formation ,Soudan,2650,shale,SH,-33.7,,,,HOER67.365,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Soudan Iron Formation ,Soudan,2650,shale,SH,,-33.7,,1,HOER67.365,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Soudan Iron Formation ,Soudan,2650,banded iron formation,BIF,0.1,-29.5,,2,PPRG,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Spain,Spain,625,shale,SH,1.2,-29.7,,3,pprg92,Krissansen-Totton 2015,FALSE,FALSE,,,?,"man,"
Spain,Spain,625,carb,CARB,1.05,-27.1,,2,pprg92,Krissansen-Totton 2015,FALSE,FALSE,,,?,"man,"
Spartan,Spartan,1900,shale,SH,6.46,-29.9,,3,pprg92,Krissansen-Totton 2015,FALSE,FALSE,,,,
Spartan Group ,Spartan,1900,shale,SH,6.46,-29.9,,,PPRG,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Spiral Ck,Spiral Creek,625,carb,CARB,,-28.4,,2,knoll86,Krissansen-Totton 2015,FALSE,FALSE,,,,
Spiral Ck,Spiral Creek,625,carb,CARB,,,-2.6,2,knoll86,Krissansen-Totton 2015,FALSE,FALSE,,,,
Spiral Creek Formation ,Spiral Creek,630,dolostone,DOL,3,-27.1,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Spiral Creek Formation ,Spiral Creek,630,dolostone,DOL,0.6,-29.6,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Spiral Creek Formation ,Spiral Creek,630,dolostone,DOL,,,-4,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Spiral Creek Formation ,Spiral Creek,630,dolostone,DOL,,,-1.1,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Spiral Creek Formation ,Spiral Creek,630,carbonate,CARB,,-28.4,,2,KNOL86.823,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Spiral Creek Formation ,Spiral Creek,630,unknown,UND,,,-2.6,2,KNOL86.832,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Spokane,Spokane,1450,dol,DOL,,,-3.18,10,lange87,Krissansen-Totton 2015,FALSE,FALSE,,,,
Spokane Formation ,Spokane,1250,dolostone,DOL,,,-3.8,,LANG871334,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Spokane Formation ,Spokane,1250,dolostone,DOL,,,-3.2,,LANG871334,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Spokane Formation ,Spokane,1250,dolostone,DOL,,,-3.8,,LANG871334,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Spokane Formation ,Spokane,1250,dolostone,DOL,,,-3.7,,LANG871334,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Spokane Formation ,Spokane,1250,dolostone,DOL,,,-3.2,,LANG871334,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Spokane Formation ,Spokane,1250,dolostone,DOL,,,-3.6,,LANG871334,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Spokane Formation ,Spokane,1250,dolostone,DOL,,,-4,,LANG871334,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Spokane Formation ,Spokane,1250,dolostone,DOL,,,-1.4,,LANG871334,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Spokane Formation ,Spokane,1250,dolostone,DOL,,,-1.4,,LANG871334,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Spokane Formation ,Spokane,1250,dolostone,DOL,,,-3.7,,LANG871334,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Spokane Formation ,Spokane,1250,dolostone,DOL,,,-3.2,10,LANG871334,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
"Spokane/Greyson, Belt Sgp",Spokane,1450,lime,LS,,,1.55,6,hall96,Krissansen-Totton 2015,FALSE,FALSE,,,,
Steep Rock,Steep Rock,2725,lime,LS,,,2,2,veizer76,Krissansen-Totton 2015,FALSE,FALSE,,,,
Steep Rock,Steep Rock,2600,shale,SH,1.7,-26.9,,1,hayes83,Krissansen-Totton 2015,FALSE,FALSE,,,,
Steep Rock,Steep Rock,2600,lime ,LS,,-24.5,,3,hayes83,Krissansen-Totton 2015,FALSE,FALSE,,,,
Steep Rock,Steep Rock,2600,chert,CH,1.35,-28.4,,2,hayes83,Krissansen-Totton 2015,FALSE,FALSE,,,,
Steep Rock Group ,Steep Rock,2600,limestone,LS,,,1.4,,SCHI83.149,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Steep Rock Group ,Steep Rock,2600,carbonate,CARB,,,1.1,,SCHI83.149,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Steep Rock Group ,Steep Rock,2600,chert,CH,,,2.1,,SCHI83.149,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Steep Rock Group ,Steep Rock,2600,limestone,LS,,,2,,VEIZ761387,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Steep Rock Group ,Steep Rock,2600,limestone,LS,,,1.9,,VEIZ761387,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Steep Rock Group ,Steep Rock,2600,limestone,LS,0.2,-25,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Steep Rock Group ,Steep Rock,2600,limestone,LS,0.5,-26.4,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Steep Rock Group ,Steep Rock,2600,limestone,LS,0.6,-22.1,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Steep Rock Group ,Steep Rock,2600,chert,CH,2.3,-30.7,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Steep Rock Group ,Steep Rock,2600,chert,CH,0.4,-26,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Steep Rock Group ,Steep Rock,2600,shale,SH,1.7,-26.9,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Steep Rock Group ,Steep Rock,2600,carbonate and chert,"CARB, CH",,,1.5,3,SCHI83.149,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Steep Rock Group ,Steep Rock,2600,limestone,LS,,,2,2,VEIZ761387,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Steep Rock Group ,Steep Rock,2600,limestone,LS,,-24.5,,3,HAYE83..93,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Steep Rock Group ,Steep Rock,2600,chert,CH,1.35,-28.4,,2,HAYE83..93,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Steep Rock Group ,Steep Rock,2600,shale,SH,1.7,-26.9,,1,HAYE83..93,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
"Steep Rock, Rainy River",Steep Rock,2725,lime,LS,,,1.94,42,veizer89b,Krissansen-Totton 2015,FALSE,FALSE,,,,
"Steep Rock, Rainy River",Steep Rock,2725,dol,DOL,,,1.15,5,veizer89b,Krissansen-Totton 2015,FALSE,FALSE,,,,
"Steep Rock, Rainy River",Steep Rock,2725,ank,ANK,,,2.9,1,veizer89b,Krissansen-Totton 2015,FALSE,FALSE,,,,
"Steep Rock, Rainy River",Steep Rock,2725,carb,CARB,,,1.5,3,schid83,Krissansen-Totton 2015,FALSE,FALSE,,,,
"Steep Rock, Steep Rock",Steep Rock,2725,lime,LS,,,-3.15,2,veizer89a,Krissansen-Totton 2015,FALSE,FALSE,,,,
"Steep Rock, Steep Rock",Steep Rock,2725,ank,ANK,,,-1.65,4,veizer89a,Krissansen-Totton 2015,FALSE,FALSE,,,,
Steeprock Group ,Steep Rock,2600,chert,CH,,0.009,,,HAYE83..93,Strauss 1992 17.9 (Prev),FALSE,FALSE,,,,
Steeprock Group ,Steep Rock,2600,chert,CH,,-27.2,,1,HAYE83..93,Strauss 1992 17.10 (Summary),TRUE,FALSE,,,,
Stoer Bay,Stoer Bay,950,shale,SH,,-29.1,,1,jack78,Krissansen-Totton 2015,FALSE,FALSE,,,,
Stoer Bay Formation ,Stoer Bay,950,shale,SH,,-29.1,,,JACK78.335,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Stoer Bay Formation ,Stoer Bay,950,shale,SH,,-29.1,,1,JACK78.335,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
"Stretton, McArthur Gp",Stretton,1625,dol,DOL,,,-0.65,3,lindsay00,Krissansen-Totton 2015,FALSE,FALSE,,,,
Strubenkop,Strubenkop,2200,shale,SH,0.09,-25.3,,3,Watanabe et al. (1997),Krissansen-Totton 2015,FALSE,FALSE,,,,
Sturtian,Sturtian,750,lime,LS,,,2.9,3,veiz76,Krissansen-Totton 2015,FALSE,FALSE,,,,
Sturtian ,Sturtian,750,limestone,LS,,,2.2,,VEIZ761387,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Sturtian ,Sturtian,750,limestone,LS,,,2.7,,VEIZ761387,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Sturtian ,Sturtian,750,limestone,LS,,,3.8,,VEIZ761387,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Sturtian ,Sturtian,750,limestone,LS,,,2.9,3,VEIZ761387,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Sukhaya Tunguska,Sukhaya Tunguska,1025,chert,CH,0.18,-26.5,,1,pprg92,Krissansen-Totton 2015,FALSE,FALSE,,,,
Sukhaya Tunguska Fm,Sukhaya Tunguska,1025,lime,LS,,,0.5,26,bart01,Krissansen-Totton 2015,FALSE,FALSE,,,,
Sukhaya Tunguska Fm,Sukhaya Tunguska,1025,dol,DOL,,,-0.6,22,knoll95a,Krissansen-Totton 2015,FALSE,FALSE,,,,
"Sukhaya Tunguska Fm, Sukhaya Tunguska",Sukhaya Tunguska,1025,lime,LS,,,1.53,6,knoll95a,Krissansen-Totton 2015,FALSE,FALSE,,,,
Sukhaya Tunguska Formation ,Sukhaya Tunguska,1000,chert,CH,0.18,-26.5,,1,PPRG,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Svanbergfjellet,Svanbergfjellet,792,carb,CARB,,,3.256013292,163,Halverson et al. (2005),Krissansen-Totton 2015,FALSE,FALSE,,,,
Svanbergfjellet,Svanbergfjellet,750,shale,SH,2.8,-31,,1,knoll86,Krissansen-Totton 2015,FALSE,FALSE,,,,
Svanbergfjellet,Svanbergfjellet,750,carb,CARB,1.53,-27.1,,3,knoll86,Krissansen-Totton 2015,FALSE,FALSE,,,,
Svanbergfjellet,Svanbergfjellet,750,carb,CARB,,,2.3,4,knoll86,Krissansen-Totton 2015,FALSE,FALSE,,,,
Svanbergfjellet Formation ,Svanbergfjellet,750,limestone,LS,0.8,-26.3,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Svanbergfjellet Formation ,Svanbergfjellet,750,limestone,LS,3.4,-27.7,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Svanbergfjellet Formation ,Svanbergfjellet,750,shale,SH,2.8,-31,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Svanbergfjellet Formation ,Svanbergfjellet,750,carbonate,CARB,0.4,-27.4,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Svanbergfjellet Formation ,Svanbergfjellet,750,limestone,LS,,,4.8,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Svanbergfjellet Formation ,Svanbergfjellet,750,limestone,LS,,,4.6,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Svanbergfjellet Formation ,Svanbergfjellet,750,dolostone,DOL,,,2.4,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Svanbergfjellet Formation ,Svanbergfjellet,750,dolostone,DOL,,,-2.4,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Svanbergfjellet Formation ,Svanbergfjellet,750,carbonate,CARB,1.53,-27.1,,3,KNOL86.823,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Svanbergfjellet Formation ,Svanbergfjellet,750,shale,SH,2.8,-31,,1,KNOL86.823,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Svanbergfjellet Formation ,Svanbergfjellet,750,carbonate,CARB,,2.3,,4,KNOL86.832,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
North Svecofennian,Svecofennian,1925,lime,LS,,,-2.03,3,karhu93,Krissansen-Totton 2015,FALSE,FALSE,,,,
North Svecofennian,Svecofennian,1925,dol,DOL,,,-0.3,1,karhu93,Krissansen-Totton 2015,FALSE,FALSE,,,,
Northeast Svecofennian,Svecofennian,1925,lime,LS,,,1.83,9,karhu93,Krissansen-Totton 2015,FALSE,FALSE,,,,
Northeast Svecofennian,Svecofennian,1925,dol,DOL,,,2.3,5,karhu93,Krissansen-Totton 2015,FALSE,FALSE,,,,
South Svecofennian,Svecofennian,1925,lime,LS,,,0.24,15,karhu93,Krissansen-Totton 2015,FALSE,FALSE,,,,
South Svecofennian,Svecofennian,1925,dol,DOL,,,0.22,2,karhu93,Krissansen-Totton 2015,FALSE,FALSE,,,,
Svecofennian,Svecofennian,2100,carb,CARB,,,0.5,2,schid75,Krissansen-Totton 2015,FALSE,FALSE,,,,
Svecofennian ,Svecofennian,2100,limestone,LS,,,0.9,,SCHI75...1,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Svecofennian ,Svecofennian,2100,dolostone,DOL,,,0.1,,SCHI75...1,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Svecofennian ,Svecofennian,2100,carbonate,CARB,,,0.5,2,SCHI75...1,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
"Svetlyi Fm, Uchur-Maya",Sveltyi,1050,dol,DOL,,,0.4,13,bartley01,Krissansen-Totton 2015,FALSE,FALSE,,,,
Swartkoppie,Swartkoppie,3450,chert,CH,3.21,-26.4,,7,hayes83,Krissansen-Totton 2015,FALSE,FALSE,,,,
Swartkoppie,Swartkoppie,3450,chert,CH,,-27.7,,3,oehl72,Krissansen-Totton 2015,FALSE,FALSE,,,,
Swartkoppie,Swartkoppie,3450,chert,CH,,-27.6,,1,leven75,Krissansen-Totton 2015,FALSE,FALSE,,,,
Swartkoppie,Swartkoppie,3450,chert,CH,,-26.9,,1,jack78,Krissansen-Totton 2015,FALSE,FALSE,,,,
Swartkoppie Formation ,Swartkoppie,3450,chert,CH,,-26.9,,,JACK78.335,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Swartkoppie Formation ,Swartkoppie,3450,chert,CH,0.3,-24.7,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Swartkoppie Formation ,Swartkoppie,3450,chert,CH,2,-23.4,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Swartkoppie Formation ,Swartkoppie,3450,chert,CH,0.8,-25.7,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Swartkoppie Formation ,Swartkoppie,3450,chert,CH,1.6,-32.4,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Swartkoppie Formation ,Swartkoppie,3450,chert,CH,16,-26.7,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Swartkoppie Formation ,Swartkoppie,3450,chert,CH,1.6,-30.5,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Swartkoppie Formation ,Swartkoppie,3450,schist,H,0.2,-21.3,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Swartkoppie Formation ,Swartkoppie,3450,chert,CH,3.5,-27.6,,,LEVE754706,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Swartkoppie Formation ,Swartkoppie,3450,chert,CH,,-24.9,,,OEHL721246,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Swartkoppie Formation ,Swartkoppie,3450,chert,CH,,-26.9,,,OEHL721246,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Swartkoppie Formation ,Swartkoppie,3450,chert,CH,,-31.4,,,OEHL721246,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Swartkoppie Formation ,Swartkoppie,3450,chert,CH,,-27.7,,3,OEHL721246,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Swartkoppie Formation ,Swartkoppie,3450,chert,CH,,-26.9,,1,JACK78.335,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Swartkoppie Formation ,Swartkoppie,3450,chert,CH,3.21,-26.4,,7,HAYE83..93,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Swartkoppie Formation ,Swartkoppie,3450,chert,CH,,-27.6,,1,LEVE754706,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Swartkoppie Formation ,Swartkoppie,3450,chert,CH,,-32,,,HAYE83..93,Strauss 1992 17.9 (Prev),FALSE,FALSE,,,,
Swartkoppie Formation ,Swartkoppie,3450,chert,CH,,-26.6,,,HAYE83..93,Strauss 1992 17.9 (Prev),FALSE,FALSE,,,,
Swartkoppie Formation ,Swartkoppie,3450,chert,CH,,-27.6,,,LEVE754706,Strauss 1992 17.9 (Prev),FALSE,TRUE,,,,
Swartkoppie Formation ,Swartkoppie,3450,chert,CH,,-29.3,,2,HAYE83..93,Strauss 1992 17.10 (Summary),TRUE,FALSE,,,,
Swartkoppie Formation ,Swartkoppie,3450,chert,CH,,-27.6,,1,LEVE754706,Strauss 1992 17.10 (Summary),TRUE,TRUE,,,,
Tabooes,Tabooes,2100,shale,SH,,-28.3,,4,schid76,Krissansen-Totton 2015,FALSE,FALSE,,,,
Tabooes Formation,Tabooes,2100,shale,SH,,-28.3,,4,SCHI76.344,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Tabooes Formation ,Tabooes,2100,shale,SH,,-29.5,,,SCHI76.344,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Tabooes Formation ,Tabooes,2100,shale,SH,,-27.6,,,SCHI76.344,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Tabooes Formation ,Tabooes,2100,shale,SH,,-27.6,,,SCHI76.344,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Tabooes Formation ,Tabooes,2100,shale,SH,,-28.5,,,SCHI76.344,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Tal,Tal,550,shale,SH,10.3,-33.3,,9,bane86,Krissansen-Totton 2015,FALSE,FALSE,,,,
Tal Formation ,Tal,560,shale,SH,7.4,-33,,,BANE86.239,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Tal Formation ,Tal,560,shale,SH,3.5,-33.6,,,BANE86.239,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Tal Formation ,Tal,560,shale,SH,8.1,-33.9,,,BANE86.239,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Tal Formation ,Tal,560,shale,SH,9.2,-34.4,,,BANE86.239,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Tal Formation ,Tal,560,shale,SH,21.9,-33.6,,,BANE86.239,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Tal Formation ,Tal,560,shale,SH,3.9,-31.4,,,BANE86.239,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Tal Formation ,Tal,560,shale,SH,20.1,-32.9,,,BANE86.239,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Tal Formation ,Tal,560,shale,SH,8.9,-32.2,,,BANE86.239,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Tal Formation ,Tal,560,shale,SH,10.1,-34.5,,,BANE86.239,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Tal Formation ,Tal,560,dolostone,DOL,,,0.7,,AHAR87.699,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Tal Formation ,Tal,560,dolostone,DOL,,,0.3,,AHAR87.699,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Tal Formation ,Tal,560,shale,SH,10.3,-33.3,,9,BANE86 .239,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Tal Formation ,Tal,560,dolostone,DOL,,,0.5,2,AHAR87 .699,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
"Talthalei, East Arm Gt Slave Lk",Taltheilei,1875,lime,LS,,,0.67,9,whittaker98,Krissansen-Totton 2015,FALSE,FALSE,,,,
"Talthalei, East Arm Gt Slave Lk",Taltheilei,1875,dol,DOL,,,0.91,21,whittaker98,Krissansen-Totton 2015,FALSE,FALSE,,,,
Taltheilei,Taltheilei,2000,carb,CARB,0.11,-22.8,,1,hayes83,Krissansen-Totton 2015,FALSE,FALSE,,,,
Taltheilei,Taltheilei,1875,carb,CARB,,,1.3,1,schid83,Krissansen-Totton 2015,FALSE,FALSE,,,,
Taltheilei Formation ,Taltheilei,2000,carbonate,CARB,0.11,-22.8,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Taltheilei Formation ,Taltheilei,2000,carbonate,CARB,,,1.3,,SCHI83.149,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Taltheilei Formation ,Taltheilei,2000,carbonate,CARB,0.11,-22.8,,1,HAYE83..93,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Taltheilei Formation ,Taltheilei,2000,carbonate,CARB,,,1.3,1,SCHI83.149,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Tanner,Tanner,950,shale,SH,3.69,-22,,6,pprg92,Krissansen-Totton 2015,FALSE,FALSE,,,,
Tanner Member ,Tanner,950,shale,SH,3.69,-22,,6,PPRG,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Tanner Member ,Tanner,950,shale,SH,,-26.5,,5,PPRG,Strauss 1992 17.10 (Summary),TRUE,FALSE,,,,
Taoudenni,Taoudenni,900,lime ,LS,,-27,,3,eich75,Krissansen-Totton 2015,FALSE,FALSE,,,,
Taoudenni,Taoudenni,900,carb,CARB,,,0.1,8,schid75,Krissansen-Totton 2015,FALSE,FALSE,,,,
Taoudenni,Taoudenni,900,carb,CARB,,,0.6,3,eich75,Krissansen-Totton 2015,FALSE,FALSE,,,,
Taoudenni Basin ,Taoudenni,900,limestone,LS,-25.7,,,,EICH75.585,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Taoudenni Basin ,Taoudenni,900,limestone,LS,-29.3,,,,EICH75.585,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Taoudenni Basin ,Taoudenni,900,limestone,LS,-26.1,,,,EICH75.585,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Taoudenni Basin ,Taoudenni,900,dolostone,DOL,,,0.7,,SCHI75...1,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Taoudenni Basin ,Taoudenni,900,dolostone,DOL,,,-0.4,,SCHI75...1,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Taoudenni Basin ,Taoudenni,900,limestone,LS,,,1.8,,SCHI75...1,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Taoudenni Basin ,Taoudenni,900,limestone,LS,,,0.1,,SpHI75...1,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Taoudenni Basin ,Taoudenni,900,limestone,LS,,,-0.9,,SCHI75... 1,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Taoudenni Basin ,Taoudenni,900,limestone,LS,,,-2.2,,SCHI75...1,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Taoudenni Basin ,Taoudenni,900,limestone,LS,,,0.7,,SCHI75...1,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Taoudenni Basin ,Taoudenni,900,limestone,LS,,,1.3,,SCHI75...1,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Taoudenni Basin ,Taoudenni,900,limestone,LS,,,1.3,,EICH75.585,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Taoudenni Basin ,Taoudenni,900,limestone,LS,,,-0.9,,EICH75.585,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Taoudenni Basin ,Taoudenni,900,limestone,LS,,,0.7,,EICH75.585,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Taoudenni Basin ,Taoudenni,900,limestone,LS,,-27,,3,EICH75.585,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
