Formation,Std Fm. Name,Age (Mya),Std Lithology,Std Lithology Code,TOC,d13C-org,d13C-carb,N,Internal Ref,External Ref,Summary?,Duplicate?,Filtered (K-T),Reason,Filtered (us),Reason
Aravalli Supergroup ,Aravalli,2350,carbonate,CARB,3.2,-14.1,,,BANE86.239,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Aravalli Supergroup ,Aravalli,2350,carbonate,CARB,2.8,-13.2,,,BANE86.239,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Aravalli Supergroup ,Aravalli,2350,carbonate,CARB,2.3,-14.5,,,BANE86.239,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Aravalli Supergroup ,Aravalli,2350,carbonate,CARB,1.3,-13.9,,,BANE86.239,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Aravalli Supergroup ,Aravalli,2350,carbonate,CARB,0.5,,,,BANE86.239,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Aravalli Supergroup ,Aravalli,2350,carbonate,CARB,2.4,-21.8,,,BANE86.239,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Aravalli Supergroup ,Aravalli,2350,carbonate,CARB,1.4,,,,BANE86.239,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Aravalli Supergroup ,Aravalli,2350,carbonate,CARB,4.5,-11.4,,,BANE86.239,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Aravalli Supergroup ,Aravalli,2350,carbonate,CARB,0.9,-17.6,,,BANE86.239,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Aravalli Supergroup ,Aravalli,2350,carbonate,CARB,2.02,-15.1,,12,BANE86.239,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Areyonga,Areyonga,750,chert,CH,0.13,-27.4,,8,pprg92,Krissansen-Totton 2015,FALSE,FALSE,,,?,"again, off by 10 from the source they cite…"
Areyonga Formation ,Areyonga,760,chert,CH,0.13,-27.4,,8,PPRG,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Asbestos Hills,Asbestos Hills,2500,bif,BIF,0.2,-24.6,,1,hayes83,Krissansen-Totton 2015,FALSE,FALSE,X,NP (bif formation),,
Asbestos Hills Formation ,Asbestos Hills,2300,banded iron formation,BIF,0.2,-24.6,,1,HAYE83..93,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Asbestos Iiills Formation ,Asbestos Hills,2300,banded iron formation,BIF,0.2,-24.6,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
"Ashanti Belt, Ghana",Ashanti Belt,2150,shale,SH,9.024375,-26.575,,8,Jia & Kerrich (2004) G3,Krissansen-Totton 2015,FALSE,FALSE,,,,
Athole Point Fm,Athole Point,1125,lime,LS,,,1.29,29,kah99,Krissansen-Totton 2015,FALSE,FALSE,,,,
Auburn,Auburn,775,carb,CARB,0.55,-19.3,,1,pprg92,Krissansen-Totton 2015,FALSE,FALSE,,,,
Auburn Dolomite ,Auburn,780,carbonate and chert,"CARB, CH",0.55,-19.3,,1,PPRG,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Avsyan,Avsyan,1250,shale,SH,3.49,-23.9,,4,pprg92,Krissansen-Totton 2015,FALSE,FALSE,,,,
Avsyan Formation ,Avsyan,1240,shale,SH,3.49,-23.9,,4,PPRG,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Avzyan ,Avsyan,1230,lime/dol,LS,,-23.38727273,,33,Bartley et al. (2007),Krissansen-Totton 2015,FALSE,FALSE,,,,
Avzyan ,Avsyan,1230,lime/dol,LS,,,1.017913386,254,Bartley et al. (2007),Krissansen-Totton 2015,FALSE,FALSE,,,,
Awatubi,Awatubi,850,shale,SH,7.4,-29.5,,2,pprg92,Krissansen-Totton 2015,FALSE,FALSE,,,,
Awatubi Member ,Awatubi,862,shale,SH,7.4,-29.5,,2,PPRG,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Backlundtoppen,Backlundtoppen,759,carb,CARB,,,6.840379592,182,Halverson et al. (2005),Krissansen-Totton 2015,FALSE,FALSE,,,,
Backlundtoppen,Backlundtoppen,700,shale,SH,3.6,-25,,1,knoll86,Krissansen-Totton 2015,FALSE,FALSE,,,,
Backlundtoppen,Backlundtoppen,700,carb,CARB,0.46,-24.9,,3,knoll86,Krissansen-Totton 2015,FALSE,FALSE,,,,
Backlundtoppen,Backlundtoppen,700,carb,CARB,,,5.4,8,knoll86,Krissansen-Totton 2015,FALSE,FALSE,,,,
Backlundtoppen,Backlundtoppen,700,lime,LS,,,6.6,3,fairc87,Krissansen-Totton 2015,FALSE,FALSE,,,,
Backlundtoppen Formation ,Backlundtoppen,700,carbonate,CARB,0.4,-23.5,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Backlundtoppen Formation ,Backlundtoppen,700,dolostone,DOL,0.1,-24.1,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Backlundtoppen Formation ,Backlundtoppen,700,dolostone,DOL,0.9,-26.9,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Backlundtoppen Formation ,Backlundtoppen,700,shale,SH,3.6,-25,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
